Fold_Number,Accuracy,F1_Score,Recall,Precision
Fold1,0.95,0.9066666666666667,0.8717948717948718,0.9444444444444444
Fold2,0.8928571428571429,0.8192771084337349,0.7555555555555555,0.8947368421052632
Fold3,0.8571428571428571,0.7499999999999999,0.7692307692307693,0.7317073170731707
Fold4,0.8785714285714286,0.7733333333333334,0.8055555555555556,0.7435897435897436
Fold5,0.8785714285714286,0.8089887640449439,0.8181818181818182,0.8
Fold6,0.9142857142857143,0.8695652173913043,0.8333333333333334,0.9090909090909091
Fold7,0.9142857142857143,0.8571428571428572,0.8780487804878049,0.8372093023255814
Fold8,0.9142857142857143,0.8378378378378377,0.8611111111111112,0.8157894736842105
Fold9,0.8848920863309353,0.8297872340425533,0.7959183673469388,0.8666666666666667
Fold10,0.8848920863309353,0.8222222222222223,0.8409090909090909,0.8043478260869565
