Fold_Number,Accuracy,F1_Score,Recall,Precision
Fold.1,0.9649122807017544,0.9605263157894737,0.948051948051948,0.9733333333333334
Fold.2,0.9941520467836257,0.9944134078212291,0.9888888888888889,1.0
Fold.3,0.9766081871345029,0.9764705882352942,0.9651162790697675,0.9880952380952381
Fold.4,0.9707602339181286,0.9668874172185431,0.9605263157894737,0.9733333333333334
Fold.5,0.9941176470588236,0.9933774834437086,0.9868421052631579,1.0
Fold.6,0.9941176470588236,0.9940828402366864,1.0,0.9882352941176471
Fold.7,0.9588235294117647,0.9637305699481866,0.9393939393939394,0.9893617021276596
Fold.8,0.9882352941176471,0.9861111111111112,0.9861111111111112,0.9861111111111112
Fold.9,0.9882352941176471,0.9885057471264368,0.9772727272727273,1.0
Fold.10,0.9705882352941176,0.9650349650349651,0.9452054794520548,0.9857142857142858
